File;Category;SubCategory;SubSubCategory;Key;En;Es
authMessages;password_recovery;;;alertError;An error has occurred;Ha sucedido un error
authMessages;password_recovery;;;emailHint;Enter your e-mail;Introduce tu email
authMessages;password_recovery;;;codeHint;000 000;000 000
authMessages;password_recovery;;;newPasswordHint;Type your new password;Escribe tu contraseña
authMessages;password_recovery;;;confirmNewPasswordHint;Confirm your new password;Confirma tu nueva contraseña
authMessages;password_recovery;;;resetPasswordButton;Reset my password;Resetea mi contraseña
authMessages;phonelessDialog;;;title;Heads up!;Atención
authMessages;phonelessDialog;;;content;To improve your security and protect your pet health data, we need you to sign up again using a phone number. We're really sorry for the trouble!;Para mejorar tu seguridad y proteger los datos de salud de tu mascota, necesitamos que te des de alta de nuevo usando un número de teléfono. ¡Perdona las molestias!
authMessages;phonelessDialog;;;action;Ok;Ok
workingFeatureMessages;;;;appbarTitle;Woops...;Oops...
workingFeatureMessages;;;;title;We're working on this feature;Estamos trabajando en esto
workingFeatureMessages;;;;subtitle;We will launch this very soon. As soon as we launch it you'll be the first to know;Lanzaremos esto muy pronto. Tan pronto como lo lancemos serás el primero en enterarte
petProfileMessages;;;;title;My Pets;Mis mascotas
petProfileMessages;;;;subtitle;Your pet’s profiles;# MISSING: Your pet’s profiles
petProfileMessages;;;;emptyPets;There are no registered pets yet.\nTo add one, start an assessment.;Aún no has registrado ninguna mascota\nPara añadir una, inicia una consulta.
petProfileMessages;;;;createPetHint;Create a profile for your Pet here!;# MISSING: Create a profile for your Pet here!
petProfileMessages;;;;assessment;Assessment;Evaluación
petProfileMessages;;;;assessments;Assessments;Evaluaciones
petProfileMessages;;;;newAssessment;New assessment;Nueva evaluación
petProfileMessages;;;;assessmentHistory;Assessment history;# MISSING: Assessment history
petProfileMessages;;;;reports;Reports;Informes
petProfileMessages;;;;details;Details;Detalles
petProfileMessages;;;;petDetails;Pet Details;Detalles de la mascota
petProfileMessages;;;;petProfileCompletion(int percentage);$percentage% Completed;$percentage% Completado
petProfileMessages;;;;unknown;Unknown;Desconocido
petProfileMessages;;;;petDetailsSubtitle;Pet profile;Perfil de la mascota
petProfileMessages;;;;exportData;Export Health Data;Exportar Datos Médicos
petProfileMessages;;;;clinicalHistory;Clinical History;Historial clínico
petProfileMessages;;;;clinicalHistoryTitle(String petName);See $petName’s History;Ver el historial de $petName
petProfileMessages;;;;clinicalHistorySubtitle(String date);Last update: <b>$date</b>;Última actualización: <b>$date</b>
petProfileMessages;;;;clinicalHistoryNoConsultations;No consultations available;No ha realizado ninguna consulta
petProfileMessages;buttonsNavigation;;;assistant;Assistant;Asistente
petProfileMessages;;;;deletePetButton;Delete this Pet Profile;Borrar este perfil de mascota
petProfileMessages;deletePetDialog;;;title;Do you want to delete your pet data?;¿Deseas borrar los datos de tu mascota?
petProfileMessages;deletePetDialog;;;body;This action will permanently delete your pet information;Esta acción borrará permanentemente los datos de tu mascota
petProfileMessages;history;;;title;history;Historial
petProfileMessages;history;virtualVet;;title;Virtual Vet;Virtual Vet
petProfileMessages;history;virtualVet;;subtitle;Consultations;Informes
petProfileMessages;history;askAVetDirectly;;title;Ask a Vet;Habla con un Vet
petProfileMessages;history;askAVetDirectly;;subtitle;Conversations;
petProfileMessages;history;nutrition;;title;Nutrition;Nutrición
petProfileMessages;history;nutrition;;subtitle;Recommendations;Recommendaciones
petProfileMessages;formFieldsTitle;;;name;Name;Nombre
petProfileMessages;formFieldsTitle;;;species;Species;Especie
petProfileMessages;formFieldsTitle;;;breed;Breed;Raza
petProfileMessages;formFieldsTitle;;;sex;Sex;Sexo
petProfileMessages;formFieldsTitle;;;castrated;Castrated;Castrado
petProfileMessages;formFieldsTitle;;;neutered;Neutered;# MISSING: Neutered
petProfileMessages;formFieldsTitle;;;spayed;Spayed;Castrada
petProfileMessages;formFieldsTitle;;;age;Age;Edad
petProfileMessages;formFieldsTitle;;;size;Size;Tamaño
petProfileMessages;formFieldsTitle;;;chipNumber;Chip number;Número de chip
petProfileMessages;formFieldsHint;;;name;Type your pet's name;Introduce el nombre de tu mascota
petProfileMessages;formFieldsHint;;;species;Select your pet species;Selecciona la especie
petProfileMessages;formFieldsHint;;;breed;Select its breed;Selecciona su raza
petProfileMessages;formFieldsHint;;;sex;Select your pet’s sex;Selecciona el sexo
petProfileMessages;formFieldsHint;;;age;Set your pet’s age;Selecciona la edad
petProfileMessages;formFieldsHint;;;size;What size is your pet;Tamaño de la mascota
petProfileMessages;formFieldsHint;;;castrated;Is castrated?;¿Está castrado?
petProfileMessages;formFieldsHint;;;spayed;Is spayed?;¿Está castrada?
petProfileMessages;formFieldsHint;;;chipNumber;Introduce your pet chip number;Introduce el número de chip de tu mascota
petProfileMessages;clinicalHistorySection;;;consultations;Consultations;Consultas
petProfileMessages;clinicalHistorySection;;;consultation;Consultation;Consulta
petProfileMessages;clinicalHistorySection;;;selectorType;Type;Tipo
petProfileMessages;clinicalHistorySection;;;selectorDate;Date;Fecha
petProfileMessages;clinicalHistorySection;;;description;Reports of your consultations;Informes de tus consultas
petProfileMessages;myClinicSection;;;myClinic;My clinic;Mi clínica
petProfileMessages;myClinicSection;;;myClinicAdd;Add a clinic;Añadir una clínica
petProfileMessages;myClinicSection;;;myClinicSubtitle;Add your main clinic;Añade los datos de tu clínica habitual
petProfileMessages;myClinicSection;;;myClinicSubtitleEdit;Edit your main clinic;Edita los datos de tu clínica habitual
petProfileMessages;myClinicSection;;;myClinicHint;Select;Selecciona
petProfileMessages;myClinicSection;;;myClinicSheetHeader;Select your clinic;Selecciona tu clínica
petProfileMessages;myClinicSection;;;myClinicSheetInputHint;Search your clinic;Busca tu clínica
petProfileMessages;myClinicSection;;;myClinicSheetButton;Add custom clinic;Añade tu clínica
petProfileMessages;myClinicSection;;;myClinicAddress;Address;Dirección
petProfileMessages;myClinicSection;;;verify;We will personaly verify your clinic;Verificaremos personalmente tu clínica
petProfileMessages;myClinicSection;;;customClinicHint;Write your clinic details;Escribe los detalles de tu clínica
petProfileMessages;ageEstimation;;;title(String species);How do I find out my $species's age?;¿Cómo averiguar la edad de mi $species?
petProfileMessages;petRange;;;puppy;Puppy;Cachorro
petProfileMessages;petRange;;;kitten;Kitten;Gatito
petProfileMessages;petRange;;;young;Young;Joven
petProfileMessages;petRange;;;adult;Adult;Adulto
petProfileMessages;petRange;;;senior;Senior;Senior
petProfileMessages;petCharacteristicsNewborn;;;cute;Very cute baby-like expression on their face;Expresión facial dulce, como un bebé
petProfileMessages;petCharacteristicsNewborn;;;bigBodyParts;Their legs, paws and ears seem a bit too large;Patas y orejas que parecen o muy pequeñas o muy grandes
petProfileMessages;petCharacteristicsNewborn;;;playfull;Very playful and very curious;Muy juguetón y muy curioso
petProfileMessages;petCharacteristicsYoung;;;brightEyes;Bright eyes and always inquisitive;Ojos brillantes y siempre curiosos
petProfileMessages;petCharacteristicsYoung;;;brightTeeth;Very bright white teeth;Dientes muy brillantes y blancos
petProfileMessages;petCharacteristicsYoung;;;playfull;Very playful;Muy juguetón
petProfileMessages;petCharacteristicsYoung;;;neverTired;Doesn’t seem to get tired when out for a run;Parece que nunca se cansa cuando sale a correr
petProfileMessages;petCharacteristicsAdult;;;energetic;Energetic and playful;Energético y juguetón
petProfileMessages;petCharacteristicsAdult;;;likesToRest;Likes to have rest time;Le gusta descansar
petProfileMessages;petCharacteristicsAdult;;;balancedBehaviour;Balanced behavior;Comportamiento equilibrado
petProfileMessages;petCharacteristicsSenior;;;missTeeth;Missing or loose teeth;Falta de dientes o debilidad dental 'dientes flojos'
petProfileMessages;petCharacteristicsSenior;;;muscleWastage;Muscle wastage, creaky or stiff joints;Desgaste muscular, articulaciones que crujen o rígidas
petProfileMessages;dogCharacteristicsSenior;;;greyHair;Grey hairs around the muzzle and eyebrows;Canas alrededor del hocico y las cejas
petProfileMessages;dogCharacteristicsSenior;;;forgetfull;May seem forgetful, pace around or bark for no reason;Puede parecer olvidadizo, deambular o ladrar sin ninguna razón
petProfileMessages;dogCharacteristicsSenior;;;slow;Slow to stand up, lie down and/or walk;Lento para levantarse, acostarse y/o caminar
petProfileMessages;catCharacteristicsSenior;;;notBrightSkin;Coat and skin are not so bright, a little dull, matted or greasy;El pelaje y la piel no son tan brillantes, un poco opacos, enmarañados o grasosos
petProfileMessages;catCharacteristicsSenior;;;forgetfull;May seem forgetful, pace around or vocalize for no reason;Puede parecer olvidadizo, deambular o maullar sin ninguna razón
petProfileMessages;catCharacteristicsSenior;;;relucantToJump;Reluctant to jump to places where they used to be able to;Lento para levantarse, acostarse y/o caminar
profileMessages;;;;title;Profile;Perfil
profileMessages;;;;termsAndPolicy(String url, String appName);$appName <a href=$url target=_blank>Terms and Conditions and Privacy Policy</a>;<a href=$url target=_blank>Términos y Condiciones y Política de privacidad</a> de $appName
profileMessages;;;;update;Update profile;Actualizar perfil
homeMessages;messages;;;hello(String name);Hi $name;Hola $name
homeMessages;messages;;;help;Is there anything I can help your pet with?;¿Hay algo que pueda hacer para ayudar a tu mascota?
homeMessages;messages;;;makeConsultation;Start an assessment;Evalúa síntomas
homeMessages;messages;;;startConcierge;Start;Comenzar
homeMessages;messages;;;logout;Log out;Desconectarse
homeMessages;messages;;;title(String name);Hi $name,;Hola $name,
homeMessages;messages;;;subtitle;I’m your personal Pet Health Assistant;Soy tu asistente personal de salud para mascotas
homeMessages;messages;;;profile;Profile;Perfil
homeMessages;messages;;;symptomInputLabel;Main symptom;Síntoma principal
homeMessages;messages;;;symptomInputHint;Type your pet’s main symptom here;Describe el síntoma principal de tu mascota
homeMessages;messages;;;appDownloadLinks(String appName, String iphoneLink, String androidLink);You can also download <b>$appName</b> for $iphoneLink and $androidLink;También puedes descargar $appName para $iphoneLink y $androidLink
homeMessages;messages;;;virtualVetLearnMoreQuestion;What is the Virtual Vet?;# MISSING: What is the Virtual Vet?
homeMessages;messages;;;virtualVetLearnMoreTitle;Virtual Vet;# MISSING: Virtual Vet
homeMessages;messages;;;virtualVetLearnMoreDescription(String brandName);Have a question about your pet’s health? Type it here and get immediate guidance from our Virtual Vet, which uses an advanced AI knowledge base of symptoms and conditions to provide the answers you’re looking for. If you’d like, you can speak with one of our veterinarians by phone, chat, or email after using the Virtual Vet.;# MISSING: Have a question about your pet’s health? Type it here and get immediate guidance from our Virtual Vet, which uses an advanced AI knowledge base of symptoms and conditions to provide the answers you’re looking for. If you’d like, you can speak with one of our veterinarians by phone, chat, or email after using the Virtual Vet.
homeMessages;messages;askAVet;;title;Ask A Vet;Habla con un veterinario
homeMessages;messages;askAVet;;subtitle;Speak with a licensed vet by phone, chat, or email;Recibe ayuda y consejo de un equipo veterinario profesional
homeMessages;messages;nutrition;;title;Food and Nutrition Finder;Comida y Nutrición
homeMessages;messages;nutrition;;subtitle;Get food suggestions personalized to your pet;Consigue la mejor recomendación de comida y snacks para tu mascota
homeMessages;termsOfService;;;ctaText;See our;Consulte nuestros
homeMessages;termsOfService;;;termsOfService;Terms of Service;Términos de Servicio
assessmentReportMessages;;;;title;Assessment Report;Informe de la Evaluación
assessmentReportMessages;;;;askAVetTitle;Ask A Vet Report;Ask A Vet Informe
assessmentReportMessages;;;;mainSymptom;Main Symptom;Síntoma principal
assessmentReportMessages;;;;nextSteps;Next Steps;Siguientes Pasos
assessmentReportMessages;;;;summary;Summary;Resumen
assessmentReportMessages;;;;possibleCauses;Possible Causes;Posibles Causas
assessmentReportMessages;;;;symptoms;Symptoms;Síntomas
assessmentReportMessages;;;;diagnosis;Diagnosis;Diagnóstico
assessmentReportMessages;;;;treatment;Treatment;Tratamiento
assessmentReportMessages;;;;prevention;Prevention;Prevención
assessmentReportMessages;;;;firstAid;First aid;Primeros auxilios
assessmentReportMessages;;;;predispositionFactors;Predisposition factors;Factores de riesgo
assessmentReportMessages;;;;urgentTitle;Immediate Vet Attention Recommended;Se requiere atención veterinaria urgente
assessmentReportMessages;;;;urgentBodyCondition;Based on the symptoms you have highlighted I recommend that you get in touch with a Vet as there may be some urgent issues that need to be looked at for {pet}.;Los posibles resultados contienen enfermedades consideradas urgentes, te recomiendo que acudas urgentemente con {pet} a una clínica veterinaria
assessmentReportMessages;;;;urgentBodySymptom;The symptoms described could be dangerous for {pet}, I recommend that you go urgently with {pet} to a veterinary clinic;Los síntomas descritos pueden ser peligrosos para {pet}, te recomiendo que acudas urgentemente con {pet} a una clínica veterinaria
assessmentReportMessages;;;;notUrgentBody;I’ve not detected any urgent condition. If the symptoms persist or you are worried about {pet}’s state, I recommend to ask a vet.;No he detectado ningún resultado urgente, aún así, si los síntomas persisten o el estado de {pet} te parece preocupante, te recomiendo que consultes con un veterinario
assessmentReportMessages;;;;noConditionsTitle;Sorry, I couldn’t find the right advice;Lo siento, no he podido encontrar un resultado apropiado
assessmentReportMessages;;;;noConditionsBody;Some of the symptoms you highlighted may be potentially dangerous. You should get in touch with a vet as soon as possible.;Algunos de los síntomas que describes pueden ser considerados urgentes, te recomiendo que acudas a un veterinario rápidamente
assessmentReportMessages;;;;treatedAtHome;It may resolve naturally, contact your veterinarian if the symptoms persist or worsen over time;Puede resolverse de manera natural, contacta con tu veterinario si los síntomas persisten o empeoran
assessmentReportMessages;;;;vetCheckRecommended;Contact your veterinarian for advice;Contacta con tu veterinario
assessmentReportMessages;;;;urgent;Seek urgent veterinary attention;Busca ayuda veterinaria urgente
assessmentReportMessages;;;;export;Export;Exportar
assessmentReportMessages;;;;askAVet;Ask a vet;Habla con un veterinario
assessmentReportMessages;askAVetMenu;;;title;Get in touch with a vet;Ponte en contacto con un veterinario
assessmentReportMessages;askAVetMenu;;;subtitle;Select an option to get in touch with one of our Veterinaries;Selecciona una opción para ponerte en contacto con uno de nuestros veterinarios
assessmentReportMessages;askAVetMenu;;;chatWithAVet;Chat with a Vet now;Hablar con un veterinario ahora
assessmentReportMessages;askAVetMenu;;;callWithAVet;Call a Vet now;Llamar a un veterinario ahora
assessmentReportMessages;askAVetMenu;;;callHoursTip;Mon to Fri 9 am to 7 pm;Lun a Vie 9 am a 7 pm
assessmentReportMessages;askAVetMenu;;;emailTip;Average response time less than 12h;Tiempo medio de respuesta menor a 12h
chatMessages;botMessages;;;initBot;I’ll help you figure out what’s happening;Te ayudaré a descubrir qué está pasando.
chatMessages;botMessages;;;noPetsProfile;Oh, before we start here, we need to add a Pet to your profile so we can know a bit about them to be able to help.\nGo <b>Add a Pet</b> to your account and then come back and we can continue.;Ah sí, antes de empezar, necesitamos añadir una mascota a tu perfil para saber un poco más sobre ella y poder ayudarte mejor. \n Vete <b>Añade una mascota</b> a tu cuenta y luego vuelve aquí para continuar.
chatMessages;botMessages;;;addPet;Add a pet;Agrega una mascota
